PRECINCT NAME,DEM Barbara Bollier,LIB Jason Buckley,REP Roger Marshall,Write-in
Ward 5 Precinct 15,60,1,63,0
Ward 5 Precinct 91,96,8,49,0
Ward 6 Precinct 1,188,17,52,3
Ward 6 Precinct 2,177,22,65,2
Ward 6 Precinct 3,235,14,142,0
Ward 6 Precinct 4,237,35,141,0
Ward 6 Precinct 5,230,24,121,1
Ward 6 Precinct 6,155,21,78,1
Ward 6 Precinct 7,105,17,64,0
Ward 6 Precinct 8,262,35,120,3
Ward 6 Precinct 9,429,79,413,2
Ward 7 Precinct 1,273,11,125,1
Ward 7 Precinct 2,211,27,120,0
Ward 7 Precinct 3,225,30,129,1
Ward 7 Precinct 4,201,32,152,0
Ward 7 Precinct 5,174,25,124,0
Ward 7 Precinct 6,160,27,98,0
Ward 7 Precinct 7,178,26,73,1
Ward 7 Precinct 9,144,17,127,0
Ward 7 Precinct 10,180,20,105,0
Ward 7 Precinct 11,295,16,148,0
Ward 8 Precinct 1,193,18,86,0
Ward 8 Precinct 2,208,18,103,0
Ward 8 Precinct 3,298,28,111,1
Ward 8 Precinct 4,251,18,121,0
Ward 8 Precinct 5,386,25,226,0
Ward 8 Precinct 6,196,9,122,0
Ward 8 Precinct 7,194,14,98,0
Ward 8 Precinct 8,210,20,96,0
Ward 8 Precinct 9,241,21,167,0
Ward 8 Precinct 10,176,10,149,0
Ward 8 Precinct 11,265,25,191,1
Ward 9 Precinct 1,51,7,40,0
Ward 9 Precinct 2,158,18,100,3
Ward 9 Precinct 3,328,15,196,0
Ward 9 Precinct 4,287,18,170,1
Ward 9 Precinct 5,241,33,139,0
Ward 9 Precinct 6,265,22,152,1
Ward 9 Precinct 8,337,34,191,0
Ward 9 Precinct 9,195,10,138,0
Ward 9 Precinct 10,403,39,243,1
Ward 9 Precinct 11,222,11,142,1
Ward 9 Precinct 12,99,12,56,1
Ward 10 Precinct 1,253,12,126,0
Ward 10 Precinct 2,184,7,160,0
Ward 10 Precinct 3,341,19,291,0
Ward 10 Precinct 4,215,23,165,0
Ward 10 Precinct 5,202,18,137,0
Ward 10 Precinct 6,171,11,131,2
Ward 10 Precinct 7,215,24,192,1
Ward 10 Precinct 8,190,29,127,1
Ward 10 Precinct 9,142,7,95,0
Ward 10 Precinct 10,237,16,178,0
Ward 10 Precinct 11,339,34,247,0
Ward 10 Precinct 13,14,0,23,0
Ward 10 Precinct 14,253,11,161,0
Ward 11 Precinct 1,149,22,124,1
Ward 11 Precinct 2,227,19,143,0
Ward 11 Precinct 3,171,15,117,1
Ward 11 Precinct 4,268,30,186,1
Ward 11 Precinct 5,221,25,151,0
Ward 11 Precinct 6,238,26,141,1
Ward 11 Precinct 7,214,22,143,2
Ward 11 Precinct 8,188,32,138,0
Ward 11 Precinct 9,241,30,166,0
Ward 11 Precinct 10,157,18,98,0
Ward 12 Precinct 1,234,31,129,1
Ward 12 Precinct 2,225,27,85,0
Ward 12 Precinct 3,230,18,177,1
Ward 12 Precinct 4,270,17,230,0
Ward 12 Precinct 5,258,9,185,0
Ward 12 Precinct 6,309,23,203,0
Ward 12 Precinct 7,297,32,232,1
Ward 12 Precinct 8,292,16,184,1
Ward 12 Precinct 9,432,47,303,0
Ward 12 Precinct 11,402,26,323,1
Ward 12 Precinct 13,240,5,286,1
Ward 12 Precinct 14,221,8,212,1
Ward 12 Precinct 15,403,27,312,0
Ward 12 Precinct 16,445,46,335,0
W12 P19 & W13 P10,37,2,59,0
Ward 12 Precinct 20,297,27,265,1
Ward 12 Precinct 31,163,14,185,0
Ward 13 Precinct 2,119,10,74,0
Ward 13 Precinct 5,9,0,7,0
Ward 13 Precinct 6,53,0,116,0
Ward 13 Precinct 9,66,1,80,0
Ward 13 Precinct 12,371,21,406,0
Ward 13 Precinct 21,45,3,50,0
Ward 13 Precinct 22,49,5,41,0
W13 P30 & W13 P08,122,5,113,1
Ward 14 Precinct 1,401,28,323,2
Ward 14 Precinct 2,304,36,331,0
Ward 14 Precinct 3,178,9,213,0
Ward 14 Precinct 4,376,18,477,0
Ward 14 Precinct 5,164,5,249,0
Ward 15 Precinct 1,325,43,281,0
W15 P02 & W15 P04,224,20,186,0
Ward 15 Precinct 3,24,1,27,0
COUNTY TOTALS,43185,4510,37861,94
