,BALDWIN AND,,JOHNSON AND,,OBAMA AND BIDEN (D),,ROMNEY AND RYAN,
Gardner 0-08,0,0.00%,0,0.00%,16,23.53%,52,76.47%
Gardner 0-09,1,0.09%,19,1.71%,399,36.01%,684,61.73%
Gardner 0-10,1,0.14%,22,3.05%,241,33.38%,458,63.43%
Gardner 0-11,0,-,0,-,0,-,0,-
Gardner 0-12,0,0.00%,0,0.00%,11,57.89%,8,42.11%
Gardner 0-13,1,0.12%,18,2.11%,302,35.32%,529,61.87%
Gardner 0-14,5,0.76%,12,1.82%,256,38.73%,386,58.40%
Gardner 0-15,0,-,0,-,0,-,0,-
Gardner Twp 0-01,1,0.25%,4,1.01%,123,30.90%,269,67.59%
Gardner Twp 0-02,0,0.00%,8,1.61%,130,26.10%,358,71.89%
Gardner Twp 0-03,0,-,0,-,0,-,0,-
Gardner Twp 0-04,0,0.00%,0,0.00%,0,0.00%,1,100.00%
Gardner Twp 0-05,0,0.00%,0,0.00%,2,25.00%,6,75.00%
Gardner Twp 0-06,0,-,0,-,0,-,0,-
Gardner Twp 0-07,0,0.00%,0,0.00%,2,50.00%,2,50.00%
Gardner Twp 0-08,0,0.00%,0,0.00%,4,66.67%,2,33.33%
Gardner Twp 0-09,0,0.00%,0,0.00%,0,0.00%,2,100.00%
Gardner Twp 0-10,0,-,0,-,0,-,0,-
Gardner Twp 0-11,2,1.74%,1,0.87%,44,38.26%,68,59.13%
Gardner Twp 0-12,0,-,0,-,0,-,0,-
Lake Quivira 0-01,0,0.00%,3,0.45%,216,32.19%,452,67.36%
Leawood 1-01,1,0.16%,12,1.90%,296,46.91%,320,50.71%
Leawood 1-02,2,0.21%,13,1.34%,397,40.97%,556,57.38%
Leawood 1-03,0,0.00%,10,1.16%,337,39.10%,512,59.40%
Leawood 1-04,1,0.15%,6,0.88%,283,41.37%,392,57.31%
Leawood 1-05,0,0.00%,6,0.95%,217,34.44%,404,64.13%
Leawood 1-06,1,0.58%,0,0.00%,84,49.12%,85,49.71%
Leawood 2-01,1,0.13%,10,1.27%,300,38.12%,474,60.23%
Leawood 2-02,2,0.21%,15,1.56%,375,39.06%,566,58.96%
Leawood 2-03,3,0.32%,10,1.06%,337,35.70%,591,62.61%
Leawood 2-04,1,0.10%,12,1.22%,223,22.64%,748,75.94%
Leawood 2-05,1,0.17%,11,1.92%,207,36.13%,352,61.43%
Leawood 2-06,1,0.25%,0,0.00%,130,32.42%,270,67.33%
Leawood 3-01,2,0.38%,10,1.88%,207,38.98%,310,58.38%
Leawood 3-02,1,0.11%,13,1.43%,320,35.13%,574,63.01%
Leawood 3-03,3,0.52%,1,0.17%,180,31.30%,391,68.00%
Leawood 3-04,0,0.00%,2,0.70%,87,30.42%,197,68.88%
Leawood 3-05,3,0.25%,19,1.61%,366,31.10%,784,66.61%
Leawood 3-06,0,0.00%,11,1.00%,314,28.62%,772,70.37%
Leawood 3-07,1,0.12%,7,0.82%,295,34.58%,547,64.13%
Leawood 4-01,0,0.00%,2,0.75%,72,26.97%,193,72.28%
Leawood 4-02,0,0.00%,9,1.20%,235,31.33%,504,67.20%
Leawood 4-03,1,0.14%,9,1.22%,277,37.58%,448,60.79%
Leawood 4-04,0,0.00%,12,1.26%,316,33.19%,621,65.23%
Leawood 4-05,3,0.33%,8,0.87%,295,32.00%,611,66.27%
Leawood 4-06,1,0.14%,9,1.29%,143,20.58%,540,77.70%
Leawood 4-07,0,0.00%,9,0.72%,331,26.48%,910,72.80%
Leawood 4-08,1,0.20%,7,1.43%,108,22.09%,373,76.28%
Lenexa 1-01,0,0.00%,7,1.38%,205,40.28%,297,58.35%
Lenexa 1-02,5,0.48%,16,1.54%,438,42.03%,577,55.37%
Lenexa 1-03,2,0.16%,17,1.40%,512,42.11%,683,56.17%
Lenexa 1-04,3,0.35%,17,2.01%,380,44.92%,442,52.25%
Lenexa 1-05,2,0.24%,25,2.98%,354,42.19%,455,54.23%
Lenexa 1-06,0,0.00%,12,1.20%,326,32.53%,662,66.07%
Lenexa 1-07,2,0.35%,9,1.59%,258,45.58%,291,51.41%
Lenexa 1-08,0,0.00%,7,2.72%,132,51.36%,116,45.14%
Lenexa 1-09,0,0.00%,0,0.00%,6,33.33%,12,66.67%
Lenexa 2-01,1,0.09%,9,0.85%,308,29.25%,733,69.61%
Lenexa 2-02,0,0.00%,3,1.01%,73,24.58%,221,74.41%
Lenexa 2-03,1,0.09%,7,0.64%,325,29.84%,756,69.42%
Lenexa 2-04,2,0.18%,11,0.99%,238,21.38%,859,77.18%
Lenexa 2-05,2,0.21%,21,2.24%,497,53.10%,415,44.34%
Lenexa 2-06,0,0.00%,8,1.15%,194,27.79%,494,70.77%
Lenexa 2-07,2,0.18%,26,2.30%,379,33.57%,719,63.68%
Lenexa 2-08,0,-,0,-,0,-,0,-
Lenexa 3-01,1,0.13%,11,1.48%,421,56.82%,307,41.43%
Lenexa 3-02,0,0.00%,17,1.72%,534,54.05%,433,43.83%
Lenexa 3-03,1,0.09%,25,2.31%,449,41.46%,604,55.77%
Lenexa 3-04,1,0.14%,23,3.15%,265,36.30%,438,60.00%
Lenexa 3-05,1,0.16%,18,2.95%,352,57.61%,236,38.63%
Lenexa 3-06,3,0.44%,17,2.47%,315,45.72%,350,50.80%
Lenexa 3-07,2,0.23%,14,1.64%,339,39.74%,497,58.26%
Lenexa 3-08,3,0.33%,15,1.64%,350,38.38%,544,59.65%
Lenexa 4-01,2,0.47%,9,2.09%,194,45.12%,223,51.86%
Lenexa 4-02,3,0.36%,12,1.45%,354,42.81%,457,55.26%
Lenexa 4-03,0,0.00%,15,3.02%,280,56.34%,197,39.64%
Lenexa 4-04,3,0.66%,9,1.97%,226,49.56%,216,47.37%
Lenexa 4-05,1,0.27%,7,1.91%,179,48.77%,177,48.23%
Lenexa 4-06,1,0.14%,20,2.87%,321,46.12%,351,50.43%
Lenexa 4-07,2,0.29%,11,1.60%,291,42.30%,379,55.09%
Lenexa 4-08,1,0.15%,5,0.76%,312,47.71%,336,51.38%
Lenexa 4-09,1,0.15%,12,1.74%,280,40.70%,395,57.41%
Lenexa 4-10,2,0.48%,9,2.17%,212,51.08%,190,45.78%
Lenexa 4-11,0,0.00%,4,3.23%,61,49.19%,59,47.58%
Lexington Twp 0-01,0,0.00%,13,1.65%,214,27.12%,561,71.10%
Lexington Twp 0-02,0,0.00%,1,33.33%,0,0.00%,2,66.67%
Lexington Twp 0-03,0,0.00%,0,0.00%,1,25.00%,3,75.00%
Lexington Twp 0-04,0,0.00%,0,0.00%,1,100.00%,0,0.00%
Lexington Twp 0-05,0,-,0,-,0,-,0,-
McCamish Twp 0-01,2,1.05%,2,1.05%,41,21.58%,145,76.32%
McCamish Twp 0-02,2,0.53%,8,2.13%,98,26.13%,264,70.40%
McCamish Twp 0-03,0,-,0,-,0,-,0,-
Merriam 1-01,2,0.40%,13,2.63%,245,49.49%,232,46.87%
Merriam 1-02,5,0.75%,16,2.40%,387,58.11%,255,38.29%
Merriam 2-01,4,0.53%,25,3.29%,370,48.68%,359,47.24%
Merriam 2-02,0,0.00%,0,0.00%,1,50.00%,1,50.00%
Merriam 2-03,2,0.48%,9,2.14%,242,57.48%,168,39.90%
Merriam 3-01,2,0.28%,8,1.12%,408,56.90%,297,41.42%
Merriam 3-02,0,0.00%,12,2.14%,290,51.79%,255,45.54%
Merriam 4-01,4,0.52%,17,2.20%,365,47.34%,383,49.68%
Merriam 4-02,1,0.28%,8,2.26%,173,48.87%,172,48.59%
Merriam 4-03,3,0.69%,11,2.53%,227,52.30%,192,44.24%
Mission 1-01,2,0.28%,16,2.25%,364,51.27%,323,45.49%
Mission 1-02,1,0.24%,18,4.32%,271,64.99%,125,29.98%
Mission 2-01,2,0.46%,10,2.30%,251,57.83%,169,38.94%
Mission 2-02,1,0.17%,21,3.55%,320,54.15%,243,41.12%
Mission 3-01,3,0.40%,24,3.22%,429,57.58%,282,37.85%
Mission 3-02,1,0.27%,10,2.67%,202,54.01%,158,42.25%
Mission 4-01,0,0.00%,7,1.61%,252,57.80%,176,40.37%
Mission 4-02,2,0.33%,11,1.82%,299,49.50%,289,47.85%
Mission 4-03,1,0.27%,13,3.53%,185,50.27%,168,45.65%
Mission Hills 0-01,0,0.00%,4,0.73%,149,27.19%,393,71.72%
Mission Hills 0-02,1,0.15%,6,0.87%,227,32.95%,455,66.04%
Mission Hills 0-03,0,0.00%,6,1.36%,109,24.66%,327,73.98%
Mission Hills 0-04,0,0.00%,4,0.58%,244,35.11%,447,64.32%
Mission Woods 0-01,0,0.00%,3,2.68%,54,48.21%,54,48.21%
Olathe 1-01,5,0.60%,18,2.18%,349,42.20%,451,54.53%
Olathe 1-02,2,0.37%,15,2.76%,233,42.91%,290,53.41%
Olathe 1-03,2,0.42%,7,1.49%,191,40.55%,271,57.54%
Olathe 1-04,3,0.36%,18,2.15%,345,41.12%,473,56.38%
Olathe 1-05,4,0.48%,23,2.74%,298,35.48%,512,60.95%
Olathe 1-06,1,0.18%,4,0.73%,188,34.12%,356,64.61%
Olathe 1-07,0,-,0,-,0,-,0,-
Olathe 1-08,2,0.19%,18,1.67%,444,41.19%,612,56.77%
Olathe 1-09,1,0.11%,21,2.26%,316,34.02%,588,63.29%
Olathe 1-10,0,0.00%,0,0.00%,3,50.00%,3,50.00%
Olathe 1-11,1,0.72%,4,2.88%,71,51.08%,60,43.17%
Olathe 1-12,0,0.00%,0,0.00%,18,47.37%,20,52.63%
Olathe 1-13,0,-,0,-,0,-,0,-
Olathe 1-14,2,0.27%,11,1.51%,248,34.07%,465,63.87%
Olathe 1-15,0,0.00%,20,2.64%,258,34.08%,478,63.14%
Olathe 1-16,3,0.29%,15,1.45%,317,30.57%,699,67.41%
Olathe 1-17,0,0.00%,1,0.50%,61,30.20%,139,68.81%
Olathe 1-18,0,0.00%,4,1.82%,85,38.64%,131,59.55%
Olathe 1-19,4,1.05%,8,2.09%,157,41.10%,212,55.50%
Olathe 1-20,5,0.81%,8,1.30%,280,45.38%,323,52.35%
Olathe 1-21,4,0.39%,19,1.84%,407,39.40%,599,57.99%
Olathe 1-22,4,0.35%,17,1.49%,347,30.39%,770,67.43%
Olathe 1-23,0,-,0,-,0,-,0,-
Olathe 1-24,0,-,0,-,0,-,0,-
Olathe 1-25,0,-,0,-,0,-,0,-
Olathe 1-26,0,0.00%,0,0.00%,4,100.00%,0,0.00%
Olathe 1-27,1,0.17%,17,2.97%,243,42.48%,308,53.85%
Olathe 1-28,0,0.00%,3,1.40%,80,37.38%,131,61.21%
Olathe 1-29,1,0.76%,0,0.00%,45,34.35%,84,64.12%
Olathe 2-01,2,0.52%,10,2.61%,124,32.38%,247,64.49%
Olathe 2-02,4,0.88%,5,1.10%,182,39.91%,263,57.68%
Olathe 2-03,1,0.16%,14,2.19%,264,41.38%,355,55.64%
Olathe 2-04,1,0.13%,24,3.10%,363,46.84%,383,49.42%
Olathe 2-05,1,0.07%,23,1.55%,382,25.74%,1073,72.30%
Olathe 2-06,0,0.00%,13,1.60%,182,22.41%,615,75.74%
Olathe 2-07,3,0.29%,21,2.00%,380,36.16%,641,60.99%
Olathe 2-08,7,0.73%,11,1.15%,444,46.59%,486,51.00%
Olathe 2-09,1,0.28%,2,0.56%,153,42.74%,202,56.42%
Olathe 2-10,7,0.44%,30,1.90%,644,40.73%,889,56.23%
Olathe 2-11,4,0.35%,33,2.89%,472,41.37%,632,55.39%
Olathe 2-12,3,0.50%,4,0.66%,229,37.85%,368,60.83%
Olathe 2-13,1,0.14%,20,2.86%,295,42.20%,378,54.08%
Olathe 2-14,0,0.00%,11,1.68%,263,40.15%,378,57.71%
Olathe 2-15,0,0.00%,14,2.99%,137,29.21%,318,67.80%
Olathe 2-16,0,-,0,-,0,-,0,-
Olathe 2-17,0,-,0,-,0,-,0,-
Olathe 2-18,0,-,0,-,0,-,0,-
Olathe 2-19,0,0.00%,0,0.00%,1,12.50%,7,87.50%
Olathe 2-20,0,-,0,-,0,-,0,-
Olathe 2-21,0,-,0,-,0,-,0,-
Olathe 2-22,1,0.09%,19,1.69%,381,33.96%,720,64.17%
Olathe 2-23,1,0.12%,12,1.42%,305,36.05%,522,61.70%
Olathe 2-24,0,0.00%,0,0.00%,3,21.43%,11,78.57%
Olathe 2-25,0,0.00%,0,0.00%,7,77.78%,2,22.22%
Olathe 2-26,0,-,0,-,0,-,0,-
Olathe 2-27,0,0.00%,0,0.00%,1,9.09%,10,90.91%
Olathe 2-28,1,0.39%,2,0.78%,117,45.53%,137,53.31%
Olathe 3-01,1,0.24%,10,2.38%,188,44.66%,220,52.26%
Olathe 3-02,1,0.09%,20,1.84%,420,38.67%,639,58.84%
Olathe 3-03,1,0.18%,14,2.56%,155,28.34%,375,68.56%
Olathe 3-04,2,0.22%,25,2.71%,352,38.10%,541,58.55%
Olathe 3-05,2,0.25%,6,0.74%,233,28.77%,568,70.12%
Olathe 3-06,3,0.47%,10,1.58%,187,29.54%,433,68.40%
Olathe 3-07,1,0.16%,5,0.79%,228,35.91%,396,62.36%
Olathe 3-08,2,0.21%,15,1.59%,302,32.09%,622,66.10%
Olathe 3-09,4,0.77%,9,1.73%,180,34.68%,323,62.24%
Olathe 3-10,2,0.20%,13,1.29%,330,32.74%,659,65.38%
Olathe 3-11,1,0.15%,12,1.79%,241,35.92%,413,61.55%
Olathe 3-12,6,0.66%,9,0.99%,358,39.43%,528,58.15%
Olathe 3-13,2,0.22%,10,1.08%,336,36.25%,577,62.24%
Olathe 3-14,0,0.00%,0,0.00%,2,66.67%,1,33.33%
Olathe 3-15,0,0.00%,10,1.39%,233,32.50%,471,65.69%
Olathe 3-16,1,0.13%,7,0.89%,269,34.22%,509,64.76%
Olathe 3-17,1,0.10%,18,1.84%,326,33.33%,631,64.52%
Olathe 3-18,0,0.00%,4,0.45%,308,34.72%,567,63.92%
Olathe 3-19,0,0.00%,6,1.08%,142,25.68%,403,72.88%
Olathe 3-20,0,0.00%,8,1.26%,186,29.25%,441,69.34%
Olathe 3-21,2,0.47%,5,1.17%,102,23.94%,316,74.18%
Olathe 3-22,2,0.24%,11,1.34%,312,37.91%,497,60.39%
Olathe 3-23,0,0.00%,24,2.96%,338,41.63%,445,54.80%
Olathe 3-24,0,-,0,-,0,-,0,-
Olathe 3-25,0,-,0,-,0,-,0,-
Olathe 3-26,0,0.00%,1,1.04%,50,52.08%,44,45.83%
Olathe 3-27,1,0.24%,7,1.67%,118,28.10%,292,69.52%
Olathe 4-01,2,0.25%,18,2.21%,393,48.28%,400,49.14%
Olathe 4-02,2,0.18%,16,1.44%,461,41.38%,630,56.55%
Olathe 4-03,4,0.76%,11,2.09%,271,51.42%,240,45.54%
Olathe 4-04,1,0.19%,10,1.86%,268,49.72%,260,48.24%
Olathe 4-05,1,0.12%,16,1.95%,338,41.12%,461,56.08%
Olathe 4-06,3,0.27%,22,1.97%,466,41.68%,622,55.64%
Olathe 4-07,2,0.20%,23,2.34%,446,45.28%,509,51.68%
Olathe 4-08,1,0.13%,13,1.73%,265,35.33%,470,62.67%
Olathe 4-09,3,0.28%,36,3.32%,384,35.42%,654,60.33%
Olathe 4-10,0,0.00%,9,1.46%,213,34.63%,389,63.25%
Olathe 4-11,0,0.00%,12,2.67%,226,50.22%,210,46.67%
Olathe 4-12,4,0.37%,16,1.50%,392,36.64%,654,61.12%
Olathe 4-13,3,0.59%,20,3.93%,233,45.78%,249,48.92%
Olathe 4-14,2,0.20%,16,1.58%,406,40.20%,581,57.52%
Olathe 4-15,0,0.00%,3,3.23%,53,56.99%,36,38.71%
Olathe 4-16,0,0.00%,0,0.00%,2,66.67%,1,33.33%
Olathe 4-17,0,0.00%,0,0.00%,1,20.00%,4,80.00%
Olathe 4-18,2,0.57%,16,4.56%,181,51.57%,151,43.02%
Olathe Twp 0-01,2,0.54%,4,1.09%,136,36.96%,225,61.14%
Olathe Twp 0-02,1,1.45%,1,1.45%,17,24.64%,50,72.46%
Olathe Twp 0-03,0,0.00%,1,2.08%,22,45.83%,25,52.08%
Olathe Twp 0-04,0,0.00%,0,0.00%,0,0.00%,2,100.00%
Olathe Twp 0-05,0,0.00%,0,0.00%,0,0.00%,3,100.00%
Olathe Twp 0-06,0,0.00%,0,0.00%,1,100.00%,0,0.00%
Olathe Twp 0-07,0,0.00%,0,0.00%,1,50.00%,1,50.00%
Olathe Twp 0-08,0,0.00%,0,0.00%,4,25.00%,12,75.00%
Olathe Twp 0-09,0,-,0,-,0,-,0,-
Olathe Twp 0-10,0,0.00%,1,5.26%,4,21.05%,14,73.68%
Olathe Twp 0-11,0,0.00%,0,0.00%,1,25.00%,3,75.00%
Olathe Twp 0-12,0,-,0,-,0,-,0,-
Olathe Twp 0-13,0,-,0,-,0,-,0,-
Olathe Twp 0-14,0,0.00%,0,0.00%,0,0.00%,1,100.00%
Olathe Twp 0-17,0,-,0,-,0,-,0,-
Olathe Twp 0-24,0,0.00%,0,0.00%,0,0.00%,3,100.00%
Olathe Twp 0-25,0,0.00%,0,0.00%,1,12.50%,7,87.50%
Olathe Twp 0-26,0,0.00%,0,0.00%,0,0.00%,4,100.00%
Olathe Twp 0-27,0,-,0,-,0,-,0,-
Olathe Twp 0-32,0,0.00%,1,3.33%,8,26.67%,21,70.00%
Overland Park 1-01,3,0.41%,22,3.01%,406,55.54%,296,40.49%
Overland Park 1-02,2,0.26%,10,1.31%,462,60.71%,285,37.45%
Overland Park 1-03,3,0.42%,7,0.98%,341,47.83%,356,49.93%
Overland Park 1-04,0,0.00%,2,0.73%,111,40.51%,158,57.66%
Overland Park 1-05,3,0.59%,13,2.56%,262,51.68%,226,44.58%
Overland Park 1-06,3,0.35%,18,2.12%,426,50.12%,396,46.59%
Overland Park 1-07,1,0.11%,18,2.01%,452,50.39%,423,47.16%
Overland Park 1-08,2,0.28%,19,2.67%,398,55.90%,287,40.31%
Overland Park 1-09,3,0.70%,14,3.29%,219,51.41%,188,44.13%
Overland Park 1-10,6,0.73%,25,3.03%,446,54.00%,340,41.16%
Overland Park 1-11,1,0.28%,6,1.70%,215,61.08%,126,35.80%
Overland Park 1-12,5,0.60%,21,2.53%,475,57.30%,325,39.20%
Overland Park 1-13,3,0.54%,27,4.86%,282,50.72%,238,42.81%
Overland Park 1-14,4,0.54%,20,2.72%,399,54.21%,307,41.71%
Overland Park 1-15,2,0.57%,5,1.42%,196,55.52%,148,41.93%
Overland Park 1-16,2,0.23%,28,3.28%,472,55.27%,348,40.75%
Overland Park 1-17,5,1.23%,12,2.96%,223,54.93%,164,40.39%
Overland Park 1-18,1,0.15%,10,1.54%,311,47.99%,324,50.00%
Overland Park 1-19,2,0.31%,7,1.08%,376,58.11%,258,39.88%
Overland Park 1-20,1,0.24%,8,1.94%,206,49.88%,197,47.70%
Overland Park 1-21,1,0.42%,6,2.50%,102,42.50%,131,54.58%
Overland Park 1-22,0,0.00%,10,5.52%,105,58.01%,65,35.91%
Overland Park 2-01,3,0.52%,13,2.27%,252,43.98%,302,52.71%
Overland Park 2-02,2,0.31%,11,1.71%,323,50.23%,305,47.43%
Overland Park 2-03,2,0.34%,12,2.05%,278,47.52%,292,49.91%
Overland Park 2-04,1,0.14%,12,1.68%,350,48.95%,349,48.81%
Overland Park 2-05,3,0.42%,18,2.53%,377,53.02%,309,43.46%
Overland Park 2-06,1,0.15%,20,3.03%,313,47.35%,326,49.32%
Overland Park 2-07,0,0.00%,14,2.67%,253,48.28%,256,48.85%
Overland Park 2-08,3,0.65%,11,2.39%,300,65.08%,144,31.24%
Overland Park 2-09,4,0.67%,9,1.50%,297,49.42%,288,47.92%
Overland Park 2-10,1,0.21%,15,3.14%,186,38.91%,274,57.32%
Overland Park 2-11,0,0.00%,15,2.32%,308,47.68%,321,49.69%
Overland Park 2-12,3,0.60%,11,2.20%,238,47.50%,248,49.50%
Overland Park 2-13,2,0.49%,13,3.17%,216,52.68%,175,42.68%
Overland Park 2-14,0,0.00%,5,1.09%,239,52.07%,214,46.62%
Overland Park 2-15,2,0.24%,23,2.75%,374,44.79%,434,51.98%
Overland Park 2-16,0,0.00%,6,1.15%,255,48.94%,258,49.52%
Overland Park 2-17,0,0.00%,16,2.04%,291,37.07%,476,60.64%
Overland Park 2-18,2,0.23%,24,2.78%,433,50.12%,402,46.53%
Overland Park 2-19,2,0.37%,9,1.68%,249,46.46%,275,51.31%
Overland Park 2-20,2,0.41%,4,0.83%,198,40.99%,279,57.76%
Overland Park 2-21,0,0.00%,8,1.51%,257,48.40%,262,49.34%
Overland Park 2-22,1,0.15%,14,2.14%,327,50.08%,308,47.17%
Overland Park 2-23,0,0.00%,2,0.34%,245,41.04%,350,58.63%
Overland Park 2-24,2,0.20%,12,1.18%,458,45.03%,541,53.20%
Overland Park 2-25,3,0.43%,5,0.72%,308,44.13%,377,54.01%
Overland Park 2-26,2,0.66%,7,2.31%,159,52.48%,133,43.89%
Overland Park 3-01,1,0.09%,12,1.10%,415,37.93%,662,60.51%
Overland Park 3-02,0,0.00%,7,1.02%,319,46.64%,353,51.61%
Overland Park 3-03,0,0.00%,4,0.66%,228,37.56%,374,61.61%
Overland Park 3-04,2,0.24%,13,1.54%,397,47.04%,432,51.18%
Overland Park 3-05,1,0.12%,18,2.18%,362,43.93%,439,53.28%
Overland Park 3-06,4,0.44%,12,1.32%,421,46.16%,473,51.86%
Overland Park 3-07,1,0.16%,13,2.02%,334,51.78%,294,45.58%
Overland Park 3-08,1,0.15%,12,1.75%,280,40.88%,388,56.64%
Overland Park 3-09,2,0.20%,9,0.88%,462,45.12%,551,53.81%
Overland Park 3-10,1,0.19%,6,1.13%,208,39.10%,315,59.21%
Overland Park 3-11,1,0.14%,13,1.76%,289,39.16%,432,58.54%
Overland Park 3-12,2,0.34%,19,3.21%,341,57.60%,230,38.85%
Overland Park 3-13,4,0.31%,16,1.25%,545,42.64%,707,55.32%
Overland Park 3-14,4,0.45%,11,1.25%,438,49.66%,424,48.07%
Overland Park 3-15,0,0.00%,7,1.23%,226,39.86%,330,58.20%
Overland Park 3-16,3,0.44%,18,2.64%,299,43.84%,360,52.79%
Overland Park 3-17,0,0.00%,10,1.86%,219,40.63%,309,57.33%
Overland Park 3-18,2,0.28%,16,2.27%,350,49.58%,335,47.45%
Overland Park 3-19,0,0.00%,11,1.41%,322,41.39%,440,56.56%
Overland Park 3-20,2,0.22%,13,1.41%,401,43.49%,504,54.66%
Overland Park 4-01,2,0.32%,4,0.64%,233,37.04%,389,61.84%
Overland Park 4-02,1,0.10%,17,1.66%,307,29.95%,694,67.71%
Overland Park 4-03,1,0.09%,9,0.80%,311,27.52%,806,71.33%
Overland Park 4-04,3,0.26%,7,0.60%,386,32.91%,775,66.07%
Overland Park 4-05,0,0.00%,8,0.90%,309,34.80%,569,64.08%
Overland Park 4-06,1,0.14%,8,1.16%,265,38.29%,416,60.12%
Overland Park 4-07,1,0.17%,11,1.88%,261,44.54%,313,53.41%
Overland Park 4-08,0,0.00%,3,0.37%,285,35.01%,526,64.62%
Overland Park 4-09,0,0.00%,12,1.56%,176,22.95%,578,75.36%
Overland Park 4-10,2,0.34%,7,1.17%,170,28.48%,418,70.02%
Overland Park 4-11,0,0.00%,10,1.05%,397,41.79%,541,56.95%
Overland Park 4-12,1,0.08%,18,1.41%,493,38.52%,765,59.77%
Overland Park 4-13,0,0.00%,4,0.64%,160,25.76%,457,73.59%
Overland Park 4-14,0,0.00%,4,0.80%,166,33.33%,327,65.66%
Overland Park 4-15,1,0.09%,18,1.58%,395,34.74%,722,63.50%
Overland Park 4-16,1,0.11%,8,0.91%,262,29.77%,608,69.09%
Overland Park 4-17,0,0.00%,10,1.05%,346,36.50%,587,61.92%
Overland Park 4-18,2,0.94%,5,2.36%,99,46.70%,105,49.53%
Overland Park 5-01,0,0.00%,11,1.29%,337,39.46%,505,59.13%
Overland Park 5-02,3,0.65%,10,2.17%,196,42.61%,250,54.35%
Overland Park 5-03,4,0.61%,7,1.07%,234,35.78%,407,62.23%
Overland Park 5-04,2,0.26%,21,2.72%,331,42.82%,417,53.95%
Overland Park 5-05,1,0.15%,9,1.35%,337,50.68%,316,47.52%
Overland Park 5-06,0,0.00%,9,1.09%,330,40.00%,485,58.79%
Overland Park 5-07,0,0.00%,4,0.39%,258,24.88%,775,74.73%
Overland Park 5-08,2,0.16%,25,1.95%,449,34.97%,805,62.69%
Overland Park 5-09,2,0.19%,11,1.02%,379,35.16%,686,63.64%
Overland Park 5-10,1,0.12%,10,1.15%,351,40.39%,506,58.23%
Overland Park 5-11,1,0.09%,19,1.80%,487,46.12%,547,51.80%
Overland Park 5-12,0,0.00%,1,0.40%,114,45.24%,137,54.37%
Overland Park 5-13,2,0.19%,8,0.76%,489,46.53%,548,52.14%
Overland Park 5-14,2,0.23%,9,1.05%,329,38.52%,511,59.84%
Overland Park 5-15,3,0.38%,12,1.53%,336,42.75%,434,55.22%
Overland Park 5-16,0,0.00%,5,0.92%,229,42.10%,309,56.80%
Overland Park 5-17,1,0.27%,5,1.36%,166,45.23%,195,53.13%
Overland Park 5-18,0,0.00%,7,1.01%,314,45.44%,369,53.40%
Overland Park 5-19,0,0.00%,1,1.15%,30,34.48%,56,64.37%
Overland Park 6-01,1,0.10%,9,0.90%,296,29.63%,690,69.07%
