Offical Election Results
Anderson County
Contest Name,Candidate Name,Party,Absentee Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Over Votes,Under Votes,Vote For
"Kincaid Mayor","Cristin Fuller","","0","4","0","4","1","1","0","2147483647","1"
"Kincaid Mayor","Connie Edgerton","","0","0","0","0","1","1","0","2147483647","1"
"Kincaid Mayor","WRITE IN","","0","16","0","16","1","1","0","2147483647","1"
"Kincaid City Councilmember","Connie Edgerton","","0","5","0","5","1","1","0","60","5"
"Kincaid City Councilmember","Allen Edgerton","","0","5","0","5","1","1","0","60","5"
"Kincaid City Councilmember","Matt Fuller","","0","5","0","5","1","1","0","60","5"
"Kincaid City Councilmember","Darlene Stewart","","0","4","0","4","1","1","0","60","5"
"Kincaid City Councilmember","Frank Stewart","","0","4","0","4","1","1","0","60","5"
"Kincaid City Councilmember","WRITE IN","","0","7","0","7","1","1","0","60","5"
"Lone Elm Mayor","Gerald Morrison","","1","6","0","7","1","1","2147483647","2","1"
"Lone Elm Mayor","WRITE IN","","1","5","0","6","1","1","2147483647","2","1"
"Lone Elm City Councilmember","Lori Morrison","","1","4","0","5","1","1","2147483647","15","5"
"Lone Elm City Councilmember","Eileen Johns","","1","5","0","6","1","1","2147483647","15","5"
"Lone Elm City Councilmember","Mike Johns","","1","3","0","4","1","1","2147483647","15","5"
"Lone Elm City Councilmember","Jean Johns","","1","5","0","6","1","1","2147483647","15","5"
"Lone Elm City Councilmember","Cassie Morrison","","1","3","0","4","1","1","2147483647","15","5"
"Lone Elm City Councilmember","WRITE IN","","5","20","0","25","1","1","2147483647","15","5"
"Westphalia Mayor","Quinten Webber","","0","5","0","5","1","1","0","12","1"
"Westphalia Mayor","WRITE IN","","0","0","0","0","1","1","0","12","1"
"Westphalia City Councilmember","Benjamin Hess","","0","5","0","5","1","1","0","65","5"
"Westphalia City Councilmember","Drake Dieker","","0","4","0","4","1","1","0","65","5"
"Westphalia City Councilmember","Samuel Pitts","","0","4","0","4","1","1","0","65","5"
"Westphalia City Councilmember","John Hess","","0","3","0","3","1","1","0","65","5"
"Westphalia City Councilmember","Jim Nolan","","0","3","0","3","1","1","0","65","5"
"Westphalia City Councilmember","WRITE-IN 124","","0","1","0","1","1","1","0","65","5"
"USD #479 Bond Election Question","Yes","","3","233","0","236","10","9","0","3","1"
"USD #479 Bond Election Question","No","","6","174","2","182","10","9","0","3","1"
